Opponent,Rav 1Q,Rav 2Q,Rav 3Q,Rav 4Q,Opp 1Q,Opp 2Q,Opp 3Q,Opp 4Q
Cleveland,10,14,7,7,6,0,0,0
Houston,3,17,3,10,0,10,0,6
Kansas City,3,7,3,7,6,21,0,7
Washington,7,14,7,3,0,10,0,7
Cincinnati,10,7,3,7,0,0,0,3
Philadelphia,14,3,7,6,0,0,6,22
Pittsburgh,7,10,0,7,7,0,14,7
Indianapolis,7,0,7,10,7,3,0,0
New England,0,10,7,0,0,13,10,0
Tennessee,3,11,7,3,7,3,3,17
Pittsburgh,7,0,0,7,6,6,0,7
Dallas,3,7,0,7,7,10,7,10
Cleveland,7,14,13,13,7,7,6,22
Jacksonville,9,17,7,7,0,0,7,7
NY Giants,14,6,0,7,0,3,3,7
Cincinnati,10,7,21,0,0,3,0,0